fr_orig,dms_orig,dms_dest,fr_dest,fr_inmode,dms_mode,fr_outmode,sctg2,trade_type,tons_2017,tons_2020,tons_2022,tons_2023,tons_2025,tons_2030,tons_2035,tons_2040,tons_2045,tons_2050,value_2017,value_2020,value_2022,value_2023,value_2025,value_2030,value_2035,value_2040,value_2045,value_2050,tons_2020_low,tons_2022_low,tons_2023_low,tons_2025_low,tons_2030_low,tons_2035_low,tons_2040_low,tons_2045_low,tons_2050_low,tons_2020_high,tons_2022_high,tons_2023_high,tons_2025_high,tons_2030_high,tons_2035_high,tons_2040_high,tons_2045_high,tons_2050_high,value_2020_low,value_2022_low,value_2023_low,value_2025_low,value_2030_low,value_2035_low,value_2040_low,value_2045_low,value_2050_low,value_2020_high,value_2022_high,value_2023_high,value_2025_high,value_2030_high,value_2035_high,value_2040_high,value_2045_high,value_2050_high
,292,189,,,1,,1,1,1.969139,1.976064,2.136898,2.22216,2.403022,2.922234,3.553633,4.321455,5.255179,6.390653,2.991861,3.002382,3.24675,3.376294,3.651093,4.439971,5.399302,6.565912,7.98459,9.7098,1.976064,2.132308,2.199938,2.378992,2.893012,3.518096,4.278241,5.202628,6.280383,1.976064,2.172383,2.270365,2.473621,3.214458,3.624705,4.407884,5.360283,6.518466,3.002382,3.239777,3.342531,3.614582,4.395571,5.345309,6.500253,7.904744,9.542259,3.002382,3.300665,3.449537,3.758358,4.883968,5.507288,6.69723,8.144282,9.903996
,292,190,,,1,,1,1,6.213187,6.73374,6.909707,7.235759,9.485786,10.727764,11.437987,12.526663,14.180837,15.468726,9.440162,10.231076,10.498436,10.993832,14.412467,16.299497,17.378593,19.032699,21.54601,23.502797,6.73374,6.84061,7.163402,9.390928,10.620486,10.741002,11.586958,12.893526,13.8088,6.73374,7.022861,7.414442,9.775791,11.800541,11.666747,12.777196,14.464453,15.7781,10.231076,10.393452,10.883894,14.268343,16.136502,16.319611,17.604935,19.590101,20.980746,10.231076,10.67036,11.265319,14.853093,17.929447,17.726165,19.413353,21.97693,23.972853
,292,219,,,1,,1,1,1.452532,1.55549,1.627022,1.704281,2.244639,2.733225,3.218445,3.822277,4.568006,5.249313,2.206942,2.363374,2.472058,2.589444,3.41045,4.152795,4.890028,5.807475,6.940518,7.975679,1.55549,1.624121,1.687239,2.222193,2.705892,3.186261,3.784054,4.522326,5.19682,1.55549,1.655244,1.738519,2.306344,3.006547,3.282814,3.898723,4.659366,5.354299,2.363374,2.46765,2.563549,3.376346,4.111267,4.841127,5.749401,6.871113,7.895922,2.363374,2.514938,2.641464,3.504203,4.568075,4.987828,5.923625,7.079328,8.135193
,292,291,,,1,,1,1,0.491135,0.501119,0.533465,0.54771,0.677533,0.812549,0.946437,1.134116,1.347015,1.53135,0.746218,0.761387,0.810533,0.832177,1.029427,1.234567,1.437992,1.723147,2.046621,2.326694,0.501119,0.53312,0.542233,0.670758,0.804424,0.942448,1.113716,1.30301,1.456615,0.501119,0.543612,0.561996,0.696668,0.893804,0.965366,1.156798,1.373955,1.561977,0.761387,0.810008,0.823856,1.019132,1.222221,1.431932,1.692151,1.979761,2.213144,0.761387,0.825951,0.853882,1.058499,1.358023,1.466752,1.757609,2.087553,2.373227
,292,299,,,1,,1,1,16.956251,17.167727,17.923161,18.63829,20.15527,24.510145,29.805977,36.246063,44.077644,53.601387,25.762911,26.084221,27.232009,28.31856,30.623421,37.240112,45.286468,55.071377,66.970488,81.440629,17.167727,17.743929,18.451908,19.953716,24.265043,28.193762,33.422628,39.598355,46.887146,17.167727,18.160079,18.972848,20.612294,26.961161,30.402096,36.970985,44.959198,54.673412,26.084221,26.959689,28.035374,30.317187,36.86771,42.836908,50.781519,60.164766,71.239177,26.084221,27.591977,28.826879,31.317813,40.964123,46.192197,56.172804,68.309898,83.069441
,292,479,,,1,,1,1,0.714689,0.776288,0.823404,0.848023,0.939461,1.142448,1.389292,1.689473,2.054512,2.498425,1.085881,1.179473,1.251059,1.288465,1.427395,1.735807,2.110857,2.566943,3.121576,3.796046,0.776288,0.817344,0.839543,0.930067,1.131023,1.325737,1.560161,1.855112,2.20751,0.776288,0.852597,0.894676,0.983385,1.256692,1.417078,1.723262,2.095603,2.548394,1.179473,1.241853,1.275581,1.413121,1.718449,2.014292,2.37047,2.818611,3.354036,1.179473,1.295415,1.359349,1.49413,1.909387,2.153074,2.618282,3.184007,3.871967
,299,19,,,1,,1,1,0.001679,0.001724,0.001864,0.001938,0.002096,0.002549,0.0031,0.003769,0.004584,0.005574,0.016851,0.017298,0.018706,0.019453,0.021036,0.025581,0.031108,0.03783,0.046004,0.055943,0.001724,0.001845,0.001919,0.002075,0.002523,0.003069,0.003732,0.004538,0.005518,0.001724,0.001894,0.001979,0.002148,0.002804,0.003162,0.003845,0.004675,0.005686,0.017298,0.018519,0.019258,0.020826,0.025325,0.030797,0.037451,0.045543,0.055384,0.017298,0.019009,0.019866,0.021558,0.028139,0.03173,0.038586,0.046924,0.057062
,299,50,,,1,,1,1,286.097046,294.17618,318.11957,330.81244,357.73743,435.03244,529.02856,643.33411,782.33746,951.37512,389.740784,400.746725,433.364033,450.655122,487.334165,592.630671,720.678561,876.393316,1065.753109,1296.027663,294.17618,314.938385,327.504303,354.160065,430.682129,523.738281,636.900757,774.514099,945.562531,294.17618,322.844746,337.814236,364.877117,478.535706,539.609131,656.200806,797.984192,970.402588,400.746725,429.030393,446.148571,482.460824,586.704364,713.471775,867.629383,1055.095578,1288.109357,400.746725,439.800991,460.193445,497.060335,651.893738,735.092132,893.921183,1087.068171,1321.948216
,299,92,,,1,,1,1,0.005818,0.006356,0.006741,0.006943,0.007899,0.009606,0.011681,0.014205,0.017274,0.021007,0.011047,0.012068,0.0128,0.013183,0.014998,0.018239,0.02218,0.026972,0.0328,0.039887,0.006356,0.006686,0.006898,0.007898,0.00951,0.011564,0.014063,0.017122,0.020462,0.006356,0.00688,0.007169,0.008114,0.010566,0.011915,0.014489,0.01762,0.021427,0.012068,0.012695,0.013097,0.014997,0.018056,0.021958,0.026702,0.03251,0.038853,0.012068,0.013063,0.013613,0.015406,0.020063,0.022623,0.027511,0.033456,0.040684
,299,172,,,1,,1,1,11.26707,11.346007,12.034635,12.394466,18.057358,22.829132,26.390514,30.512594,35.636288,40.722198,15.348767,15.456301,16.394396,16.884583,24.598958,31.099393,35.95095,41.566327,48.54617,55.474543,11.346007,11.977682,12.376107,17.876785,22.600842,26.12661,30.207468,35.252899,39.597838,11.346007,12.256297,12.733636,18.583524,25.112045,26.918324,31.122845,36.349014,41.53664,15.456301,16.316812,16.859574,24.352969,30.788399,35.59144,41.150664,48.023892,53.942862,15.456301,16.696359,17.346623,25.315738,34.209333,36.669969,42.397653,49.517093,56.584034
